Date,Open,High,Low,Close,Adj Close,Volume
2015/03/18,1148.699951,1174.300049,1147,1151.400024,1151.400024,71
2015/03/19,1171.599976,1171.599976,1159.300049,1169.099976,1169.099976,112
2015/03/20,1171,1185.400024,1171,1184.800049,1184.800049,39
2015/03/23,1181.599976,1188,1181.199951,1188,1188,54
2015/03/24,1188,1193,1186,1191.699951,1191.699951,5
2015/03/25,1192.5,1199.199951,1192.5,1197.300049,1197.300049,411
2015/03/26,1198.199951,1213.699951,1198.199951,1205.099976,1205.099976,11
2015/03/27,1197,1199.800049,1196.300049,1199.800049,1199.800049,68
2015/03/30,1198,1198.5,1181.599976,1184.800049,1184.800049,172260
2015/03/31,1185.800049,1190.099976,1178.199951,1183.099976,1183.099976,37990
2015/04/01,1182.900024,1208.199951,1181,1208.099976,1208.099976,3409
2015/04/02,1204,1205.699951,1194.800049,1200.900024,1200.900024,1632
2015/04/06,1209.900024,1224.199951,1209.900024,1218.599976,1218.599976,1684
2015/04/07,1214.800049,1214.800049,1208.199951,1210.599976,1210.599976,343
2015/04/08,1208.900024,1211.400024,1197.599976,1203.099976,1203.099976,406
2015/04/09,1201.699951,1202.5,1193,1193.599976,1193.599976,236
2015/04/10,1195.800049,1209.599976,1195.800049,1204.599976,1204.599976,521
2015/04/13,1208.099976,1208.099976,1198.300049,1199.300049,1199.300049,202
2015/04/14,1198.800049,1200.599976,1184.099976,1192.800049,1192.800049,424
2015/04/15,1194.599976,1203.099976,1188.599976,1201.5,1201.5,546
2015/04/16,1204.300049,1208.5,1194.599976,1198,1198,196
2015/04/17,1200.199951,1206,1200.199951,1202.900024,1202.900024,199
2015/04/20,1205.699951,1206.900024,1191,1193.5,1193.5,21
2015/04/21,1193.199951,1202.900024,1192.800049,1202.900024,1202.900024,67
2015/04/22,1199.099976,1202.599976,1185.199951,1186.900024,1186.900024,33
2015/04/23,1187.199951,1197,1186.099976,1194.400024,1194.400024,93
2015/04/24,1192.300049,1194.699951,1174.599976,1175.199951,1175.199951,331
2015/04/27,1182.300049,1206.699951,1181.400024,1203.300049,1203.300049,52
2015/04/28,1199.699951,1214,1199.699951,1214,1214,194
2015/04/29,1211.199951,1212.599976,1201.900024,1209.800049,1209.800049,401
2015/04/30,1203.099976,1205.900024,1176.699951,1182.400024,1182.400024,114
2015/05/01,1178.099976,1178.099976,1170,1174.5,1174.5,143
2015/05/04,1177.5,1189.400024,1177.5,1186.800049,1186.800049,23
2015/05/05,1187.5,1198.699951,1186.900024,1193.199951,1193.199951,38
2015/05/06,1194.5,1194.599976,1189.900024,1190.300049,1190.300049,48
2015/05/07,1181.5,1186,1179.699951,1182.400024,1182.400024,14
2015/05/08,1183.300049,1189.099976,1182.900024,1189.099976,1189.099976,44
2015/05/11,1189.699951,1190.5,1179.300049,1183.199951,1183.199951,51
2015/05/12,1194.599976,1194.800049,1189.699951,1192.599976,1192.599976,26
2015/05/13,1192.699951,1218.400024,1191,1218.400024,1218.400024,10
2015/05/14,1214.5,1225.599976,1214.5,1225.400024,1225.400024,34
2015/05/15,1218.5,1225.5,1214.800049,1225.5,1225.5,35
2015/05/18,1224.5,1228.099976,1222.599976,1227.800049,1227.800049,12
2015/05/19,1223.900024,1223.900024,1206,1206.900024,1206.900024,8
2015/05/20,1205.099976,1210.800049,1205.099976,1208.900024,1208.900024,9
2015/05/21,1204.5,1204.5,1203.699951,1204.400024,1204.400024,11
2015/05/22,1211.599976,1211.900024,1204.300049,1204.300049,1204.300049,43
2015/05/26,1193.599976,1193.599976,1186,1187.199951,1187.199951,8
2015/05/27,1185.900024,1185.900024,1185.900024,1185.900024,1185.900024,40
2015/05/28,1187.099976,1192,1179.599976,1188.099976,1188.099976,200216
2015/05/29,1187.800049,1193.300049,1185.699951,1189.400024,1189.400024,52705
2015/06/01,1190.599976,1204,1184.300049,1188.300049,1188.300049,4748
2015/06/02,1189,1194.300049,1186,1194.099976,1194.099976,1236
2015/06/03,1193.900024,1193.900024,1179.099976,1184.699951,1184.699951,1003
2015/06/04,1184.900024,1185.300049,1173,1174.900024,1174.900024,630
2015/06/05,1176.400024,1177.300049,1164,1167.800049,1167.800049,447
2015/06/08,1169.5,1176.099976,1169.099976,1173.199951,1173.199951,390
2015/06/09,1172.900024,1180.300049,1172.699951,1177.300049,1177.300049,173
2015/06/10,1176.099976,1190.099976,1175.599976,1186.099976,1186.099976,144
2015/06/11,1183.199951,1183.199951,1174.400024,1179.900024,1179.900024,295
2015/06/12,1180.400024,1181.199951,1176.199951,1178.800049,1178.800049,69
2015/06/15,1179.900024,1188.5,1172.699951,1185.300049,1185.300049,141
2015/06/16,1186.5,1186.5,1175.900024,1180.5,1180.5,102
2015/06/17,1177.599976,1186.300049,1174.900024,1176.400024,1176.400024,29
2015/06/18,1183.400024,1202,1183.400024,1201.5,1201.5,168
2015/06/19,1199.699951,1203.099976,1199.699951,1201.5,1201.5,130
2015/06/22,1197.800049,1197.800049,1182.699951,1183.699951,1183.699951,142
2015/06/23,1183.800049,1186,1176.199951,1176.199951,1176.199951,30
2015/06/24,1176.599976,1176.599976,1170.699951,1172.599976,1172.599976,60
2015/06/25,1175.800049,1175.900024,1171.5,1171.5,1171.5,263
2015/06/26,1170.5,1172.900024,1170.5,1172.900024,1172.900024,95
2015/06/29,1185.099976,1186,1173.800049,1178.5,1178.5,308
2015/06/30,1176.300049,1176.400024,1166.599976,1171.5,1171.5,174
2015/07/01,1173.099976,1173.099976,1166.599976,1169,1169,223
2015/07/02,1166.400024,1168.099976,1155.5,1163,1163,455
2015/07/06,1171.099976,1173,1162.199951,1172.900024,1172.900024,316
2015/07/07,1166.800049,1166.800049,1149.5,1152.400024,1152.400024,634
2015/07/08,1152.599976,1163.300049,1146.400024,1163.300049,1163.300049,469
2015/07/09,1154.800049,1163.599976,1154.800049,1159,1159,65
2015/07/10,1160.099976,1161.400024,1157.5,1157.699951,1157.699951,65
2015/07/13,1159,1159,1151.199951,1155.199951,1155.199951,27
2015/07/14,1157.199951,1157.199951,1153,1153.300049,1153.300049,14
2015/07/15,1154,1154,1144.800049,1147.199951,1147.199951,39
2015/07/16,1146.199951,1146.199951,1142.900024,1143.800049,1143.800049,15
2015/07/17,1144,1144,1130.199951,1131.800049,1131.800049,14
2015/07/20,1130.400024,1130.699951,1095.099976,1106.699951,1106.699951,120
2015/07/21,1097.099976,1106.400024,1097.099976,1103.400024,1103.400024,189
2015/07/22,1093,1095,1086,1091.400024,1091.400024,118
2015/07/23,1097.400024,1097.599976,1087.800049,1094,1094,46
2015/07/24,1078.599976,1100.699951,1078.599976,1085.599976,1085.599976,64
2015/07/27,1100,1102.5,1093.900024,1096.5,1096.5,52
2015/07/28,1097.199951,1097.699951,1096.300049,1096.300049,1096.300049,19
2015/07/29,1096.400024,1096.900024,1092.699951,1092.699951,1092.699951,31
2015/07/30,1096.099976,1097.5,1081,1088.400024,1088.400024,159142
2015/07/31,1087.699951,1102.800049,1079.099976,1094.900024,1094.900024,49298
2015/08/03,1095.5,1097.099976,1085,1089.400024,1089.400024,5700
2015/08/04,1085.099976,1093.900024,1080.5,1090.699951,1090.699951,2418
2015/08/05,1086.5,1090.599976,1082.5,1085.699951,1085.699951,1139
2015/08/06,1084.400024,1092.199951,1083.599976,1090.199951,1090.199951,1207
2015/08/07,1088.900024,1098.300049,1081.699951,1094.099976,1094.099976,269
2015/08/10,1093.199951,1107.599976,1089.5,1104.199951,1104.199951,614
2015/08/11,1103.800049,1116.699951,1094,1107.599976,1107.599976,900
2015/08/12,1106,1124.5,1101.5,1123.199951,1123.199951,997
2015/08/13,1124.300049,1124.300049,1113,1115.699951,1115.699951,797
2015/08/14,1113.900024,1118.800049,1112.5,1112.900024,1112.900024,441
2015/08/17,1113.800049,1122,1113.800049,1118.599976,1118.599976,908
2015/08/18,1118.199951,1118.400024,1110,1117.099976,1117.099976,399
2015/08/19,1117,1134.300049,1116.800049,1128.099976,1128.099976,475
2015/08/20,1132.800049,1153.300049,1132.800049,1153,1153,348
2015/08/21,1154.099976,1166.5,1150.5,1159.599976,1159.599976,409
2015/08/24,1164,1169,1147.5,1153.400024,1153.400024,261
2015/08/25,1151.5,1155.5,1134,1138.199951,1138.199951,299
2015/08/26,1139.199951,1143,1119.599976,1124.599976,1124.599976,217
2015/08/27,1127.199951,1127.400024,1118.400024,1122.400024,1122.400024,116
2015/08/28,1125.300049,1139,1123.599976,1133.099976,1133.099976,564
2015/08/31,1131.099976,1134,1124.800049,1131.599976,1131.599976,279
2015/09/01,1133.5,1144.699951,1133.5,1138.699951,1138.699951,194
2015/09/02,1137.300049,1140.400024,1130.800049,1132.5,1132.5,375
2015/09/03,1130.300049,1132.900024,1120.300049,1123.699951,1123.699951,201
2015/09/04,1123.400024,1125.199951,1116.199951,1120.599976,1120.599976,122
2015/09/08,1119.800049,1124.300049,1116.400024,1120.400024,1120.400024,51
2015/09/09,1123.5,1123.5,1102.099976,1102.199951,1102.199951,138
2015/09/10,1107.300049,1113.5,1105.5,1109.5,1109.5,150
2015/09/11,1110.800049,1111.699951,1098.199951,1103.5,1103.5,56
2015/09/14,1107.800049,1108.599976,1104.099976,1107.699951,1107.699951,81
2015/09/15,1104.5,1104.5,1102.800049,1102.800049,1102.800049,19
2015/09/16,1109.800049,1119.900024,1109.800049,1119.199951,1119.199951,8
2015/09/17,1118.599976,1130.5,1117.099976,1117.300049,1117.300049,31
2015/09/18,1128.300049,1141.199951,1127.800049,1138.099976,1138.099976,14
2015/09/21,1137.599976,1138.5,1130.800049,1133.099976,1133.099976,59
2015/09/22,1132.599976,1135,1122.5,1125,1125,17
2015/09/23,1128.599976,1132.199951,1128.300049,1131.599976,1131.599976,43
2015/09/24,1133,1155.900024,1133,1153.800049,1153.800049,33
2015/09/25,1149.800049,1149.800049,1143.400024,1146,1146,37
2015/09/28,1133.199951,1133.199951,1132,1132,1132,56
2015/09/29,1132.199951,1134.400024,1124.300049,1127.099976,1127.099976,4346
2015/09/30,1124.300049,1126,1112.099976,1115.5,1115.5,2417
2015/10/01,1115.199951,1119,1113.300049,1114.199951,1114.199951,865
2015/10/02,1112.199951,1141.199951,1105.800049,1137.099976,1137.099976,1181
2015/10/05,1137.099976,1141.699951,1132.5,1138.099976,1138.099976,323
2015/10/06,1136.300049,1150,1136.300049,1146.800049,1146.800049,226
2015/10/07,1147.599976,1152.900024,1143,1149,1149,145
2015/10/08,1142.699951,1146.699951,1138.699951,1144.699951,1144.699951,104
2015/10/09,1151.599976,1157.199951,1151.599976,1156.300049,1156.300049,138
2015/10/12,1155.900024,1166.800049,1155.900024,1164.900024,1164.900024,22
2015/10/13,1163.5,1166.199951,1154.900024,1165.800049,1165.800049,40
2015/10/14,1172.400024,1189,1167.300049,1180.099976,1180.099976,132
2015/10/15,1184.199951,1188.300049,1177.800049,1187.900024,1187.900024,143
2015/10/16,1182.5,1184.099976,1176.199951,1183.599976,1183.599976,143
2015/10/19,1176.5,1177.800049,1169.300049,1173.300049,1173.300049,243
2015/10/20,1168.699951,1179.099976,1168.699951,1178,1178,62
2015/10/21,1175.900024,1176.400024,1164.900024,1167.599976,1167.599976,19
2015/10/22,1166.199951,1168.599976,1163.5,1166.599976,1166.599976,41
2015/10/23,1166.199951,1178.699951,1163.300049,1163.300049,1163.300049,48
2015/10/26,1165.099976,1170,1163.800049,1167,1167,38
2015/10/27,1164.5,1166.800049,1162,1166.800049,1166.800049,176
2015/10/28,1175.099976,1182.699951,1175.099976,1177.099976,1177.099976,302
2015/10/29,1158,1162,1144.900024,1147.199951,1147.199951,217
2015/10/30,1147.5,1147.599976,1139.199951,1141.5,1141.5,329
2015/11/02,1137.900024,1138.699951,1132.599976,1135.800049,1135.800049,249
2015/11/03,1133.300049,1134.699951,1114.199951,1114.199951,1114.199951,180
2015/11/04,1119,1121.900024,1106.5,1106.5,1106.5,185
2015/11/05,1107.900024,1110.699951,1104.400024,1104.400024,1104.400024,141
2015/11/06,1105.199951,1109.5,1084.800049,1087.599976,1087.599976,84
2015/11/09,1088.599976,1088.599976,1087.900024,1087.900024,1087.900024,78
2015/11/10,1090.099976,1091.300049,1085,1088.199951,1088.199951,5
2015/11/11,1091.400024,1091.400024,1084.199951,1084.699951,1084.699951,18
2015/11/12,1086,1086.599976,1080.800049,1080.800049,1080.800049,15
2015/11/13,1083.099976,1085.900024,1080.800049,1080.800049,1080.800049,4
2015/11/16,1092,1092.400024,1083.699951,1083.699951,1083.699951,23
2015/11/17,1075.5,1075.800049,1065.099976,1068.699951,1068.699951,11
2015/11/18,1064,1071.900024,1064,1068.800049,1068.800049,6
2015/11/19,1077.400024,1082.400024,1077.400024,1078,1078,5
2015/11/20,1082.900024,1082.900024,1076.400024,1076.400024,1076.400024,10
2015/11/23,1070,1071.5,1066.800049,1066.800049,1066.800049,5
2015/11/24,1073.199951,1079.400024,1073.199951,1074.300049,1074.300049,57
2015/11/25,1070.199951,1072,1068.5,1070.5,1070.5,222
2015/11/27,1070.699951,1074.199951,1051.099976,1056.199951,1056.199951,148662
2015/11/30,1056.5,1068.400024,1052.099976,1065.800049,1065.800049,52133
2015/12/01,1064.599976,1074.599976,1063.400024,1063.800049,1063.800049,4601
2015/12/02,1068.699951,1069.5,1049.599976,1054.199951,1054.199951,3441
2015/12/03,1054.400024,1064.599976,1046.199951,1061.699951,1061.699951,503
2015/12/04,1063,1088.800049,1058.699951,1084.5,1084.5,1161
2015/12/07,1084.900024,1086.5,1067.400024,1076.400024,1076.400024,889
2015/12/08,1071,1078.400024,1069.599976,1076.300049,1076.300049,656
2015/12/09,1075.099976,1086,1070.599976,1077.599976,1077.599976,306
2015/12/10,1073,1076.300049,1071.699951,1073.099976,1073.099976,386
2015/12/11,1067.800049,1079.400024,1064.400024,1076.900024,1076.900024,226
2015/12/14,1074,1076.699951,1060,1064.699951,1064.699951,410
2015/12/15,1064.599976,1066.199951,1061.800049,1062.900024,1062.900024,509
2015/12/16,1064.800049,1078.699951,1064.300049,1078,1078,220
2015/12/17,1072.599976,1072.599976,1050.5,1050.800049,1050.800049,81
2015/12/18,1053.699951,1070.300049,1052.699951,1066.199951,1066.199951,56
2015/12/21,1070.199951,1081.900024,1070.199951,1081.900024,1081.900024,253
2015/12/22,1078.599976,1078.599976,1073.800049,1074.800049,1074.800049,26
2015/12/23,1074.5,1074.800049,1069.400024,1069.400024,1069.400024,106
2015/12/24,1074.300049,1077.800049,1073.5,1077.199951,1077.199951,202
2015/12/28,1077.900024,1098.800049,1070.5,1070.5,1070.5,24
2015/12/29,1079.099976,1079.699951,1077.5,1077.5,1077.5,361
2015/12/30,1068.599976,1070.199951,1059.699951,1060.099976,1060.099976,252
2015/12/31,1061.900024,1062,1058.5,1060.300049,1060.300049,71
2016/01/04,1063.400024,1082.5,1063.199951,1075.099976,1075.099976,10
2016/01/05,1075.599976,1081.5,1075.300049,1078.400024,1078.400024,143
2016/01/06,1081.599976,1093.699951,1081.599976,1091.900024,1091.900024,82
2016/01/07,1091.599976,1109.400024,1091.599976,1107.699951,1107.699951,52
2016/01/08,1111.099976,1111.099976,1093,1097.800049,1097.800049,122
2016/01/11,1105.699951,1107.900024,1096.5,1096.5,1096.5,98
2016/01/12,1093.800049,1098.5,1084,1085.599976,1085.599976,43
2016/01/13,1081.5,1093.900024,1081.5,1087.5,1087.5,87
2016/01/14,1091.5,1091.5,1073.699951,1073.900024,1073.900024,50
2016/01/15,1085,1095.800049,1081.800049,1091.5,1091.5,59
2016/01/19,1089.800049,1094.400024,1084.900024,1089.900024,1089.900024,44
2016/01/20,1099.800049,1109.800049,1099.800049,1107.099976,1107.099976,17
2016/01/21,1103.599976,1103.599976,1094.099976,1099.099976,1099.099976,30
2016/01/22,1098,1103.199951,1097.199951,1097.199951,1097.199951,16
2016/01/25,1099.300049,1109.300049,1099.300049,1106.199951,1106.199951,4
2016/01/26,1115.099976,1121.699951,1114.300049,1121.699951,1121.699951,8
2016/01/27,1117.800049,1117.800049,1115.800049,1116.099976,1116.099976,181
2016/01/28,1125.400024,1125.699951,1109.800049,1115.599976,1115.599976,168706
2016/01/29,1114.400024,1118.599976,1108.800049,1116.400024,1116.400024,52861
2016/02/01,1116.699951,1130,1115.300049,1127.900024,1127.900024,6955
2016/02/02,1128.300049,1131.400024,1123,1127.300049,1127.300049,1682
2016/02/03,1128.5,1146,1125,1141.300049,1141.300049,1230
2016/02/04,1142.5,1157.599976,1141,1157.599976,1157.599976,1630
2016/02/05,1155.599976,1174.800049,1146,1157.800049,1157.800049,771
2016/02/08,1173.5,1200.400024,1165,1197.900024,1197.900024,877
2016/02/09,1188.699951,1199.199951,1186.699951,1198.699951,1198.699951,931
2016/02/10,1189.800049,1197.699951,1182.099976,1194.699951,1194.699951,700
2016/02/11,1205.599976,1260.800049,1204.599976,1247.900024,1247.900024,671
2016/02/12,1247.800049,1247.800049,1233.5,1239.099976,1239.099976,995
2016/02/16,1233.099976,1233.599976,1193.599976,1207.900024,1207.900024,250
2016/02/17,1196.5,1212.900024,1196.5,1211.099976,1211.099976,422
2016/02/18,1209.599976,1239.199951,1201.599976,1226.099976,1226.099976,53
2016/02/19,1230.800049,1232.800049,1221.800049,1230.400024,1230.400024,315
2016/02/22,1226.099976,1226.099976,1203,1209.5,1209.5,76
2016/02/23,1207.400024,1226.099976,1207.400024,1222.300049,1222.300049,280
2016/02/24,1230,1250.099976,1230,1238.699951,1238.699951,351
2016/02/25,1239.400024,1241.5,1235,1238.199951,1238.199951,111
2016/02/26,1232.400024,1239.099976,1212.199951,1219.800049,1219.800049,1349
2016/02/29,1218.599976,1241,1218.599976,1233.900024,1233.900024,656
2016/03/01,1240.5,1248.400024,1229,1230.300049,1230.300049,580
2016/03/02,1232.800049,1242.599976,1226,1241.099976,1241.099976,477
2016/03/03,1238.400024,1267.900024,1238,1257.400024,1257.400024,267
2016/03/04,1263,1279.900024,1250.900024,1269.900024,1269.900024,123
2016/03/07,1259.800049,1272.300049,1259.699951,1263.199951,1263.199951,268
2016/03/08,1268.699951,1276.300049,1261,1262.099976,1262.099976,67
2016/03/09,1254.5,1260,1244.800049,1256.599976,1256.599976,43
2016/03/10,1250,1273,1237.5,1272,1272,79
2016/03/11,1270,1280.699951,1249.400024,1258.699951,1258.699951,119
2016/03/14,1256,1258,1234.5,1244.400024,1244.400024,87
2016/03/15,1228.300049,1236,1228,1230.400024,1230.400024,58
2016/03/16,1229.5,1263.800049,1228.900024,1229.300049,1229.300049,37
2016/03/17,1261.5,1270.099976,1255.900024,1264.5,1264.5,45
2016/03/18,1257.099976,1264.400024,1251.5,1253.800049,1253.800049,27
2016/03/21,1256.199951,1256.199951,1243.400024,1243.800049,1243.800049,542
2016/03/22,1244,1252.400024,1243.800049,1248.199951,1248.199951,1061
2016/03/23,1247.699951,1247.699951,1218.599976,1223.699951,1223.699951,20
2016/03/24,1214.199951,1221.400024,1214.199951,1221.400024,1221.400024,28
2016/03/28,1211.5,1222.199951,1210,1219.900024,1219.900024,13
2016/03/29,1217.800049,1235.599976,1217.699951,1235.599976,1235.599976,33
2016/03/30,1241.400024,1245,1223.400024,1226.900024,1226.900024,189732
2016/03/31,1225.599976,1239.599976,1224.5,1234.199951,1234.199951,48248
2016/04/01,1232.300049,1235.199951,1209.199951,1222.199951,1222.199951,3377
2016/04/04,1221.699951,1222.300049,1215,1218,1218,1602
2016/04/05,1215.400024,1236.699951,1215.400024,1228.400024,1228.400024,2038
2016/04/06,1230.400024,1230.400024,1217.599976,1222.5,1222.5,477
2016/04/07,1224.800049,1242.900024,1224.599976,1236.199951,1236.199951,248
2016/04/08,1241,1242.800049,1232,1242.5,1242.5,375
2016/04/11,1241.5,1258.699951,1241.5,1256.699951,1256.699951,409
2016/04/12,1260,1261.699951,1253.699951,1259.400024,1259.400024,437
2016/04/13,1256.5,1256.900024,1241.300049,1246.800049,1246.800049,185
2016/04/14,1231.400024,1243.699951,1224.5,1225,1225,203
2016/04/15,1225.699951,1235,1225.699951,1233.099976,1233.099976,264
2016/04/18,1238.699951,1241.099976,1232.199951,1233.599976,1233.599976,97
2016/04/19,1231.599976,1256.199951,1228.800049,1253,1253,304
2016/04/20,1256.099976,1256.099976,1243,1253.199951,1253.199951,386
2016/04/21,1247.699951,1270.599976,1247.599976,1249,1249,180
2016/04/22,1248.5,1248.5,1228,1228.699951,1228.699951,124
2016/04/25,1231.599976,1240.900024,1231.599976,1238.900024,1238.900024,188
2016/04/26,1239.800049,1244.199951,1233,1242.199951,1242.199951,442
2016/04/27,1248.599976,1249.5,1248.599976,1249.199951,1249.199951,97
2016/04/28,1245.900024,1270.099976,1238.5,1265.5,1265.5,547
2016/04/29,1267.300049,1295.5,1267.199951,1289.199951,1289.199951,887
2016/05/02,1292.099976,1304.400024,1290.400024,1294.699951,1294.699951,464
2016/05/03,1292.699951,1301.5,1284.5,1290.699951,1290.699951,192
2016/05/04,1286.900024,1290,1273,1273.300049,1273.300049,151
2016/05/05,1282.900024,1286,1270.800049,1271.400024,1271.400024,109
2016/05/06,1278.599976,1295.599976,1276.900024,1292.900024,1292.900024,330
2016/05/09,1286.5,1286.5,1262.300049,1265.599976,1265.599976,305
2016/05/10,1265.099976,1267.400024,1258.699951,1263.900024,1263.900024,341
2016/05/11,1266.900024,1279.199951,1266.900024,1274.599976,1274.599976,23
2016/05/12,1267,1281.199951,1264,1270.300049,1270.300049,50
2016/05/13,1271.400024,1275.699951,1264.599976,1271.900024,1271.900024,101
2016/05/16,1272.800049,1287.800049,1272.800049,1273.400024,1273.400024,66
2016/05/17,1272.5,1281.599976,1270.800049,1276.199951,1276.199951,44
2016/05/18,1276.400024,1276.400024,1256.800049,1273.699951,1273.699951,16
2016/05/19,1248,1255.5,1247.5,1254.199951,1254.199951,17
2016/05/20,1256.599976,1256.599976,1252.400024,1252.400024,1252.400024,69
2016/05/23,1251.599976,1251.599976,1247.5,1251.099976,1251.099976,44
2016/05/24,1240,1240,1228.199951,1228.900024,1228.900024,56
2016/05/25,1219.300049,1223.5,1218.599976,1223.5,1223.5,20
2016/05/26,1232.599976,1232.599976,1220.099976,1220.099976,1220.099976,5
2016/05/27,1220.300049,1223.199951,1206.400024,1213.800049,1213.800049,199778
2016/05/31,1212.5,1217.599976,1199,1214.800049,1214.800049,63739
2016/06/01,1215.699951,1219.800049,1205.400024,1211.900024,1211.900024,6432
2016/06/02,1212.400024,1217,1209.599976,1209.800049,1209.800049,2717
2016/06/03,1209.099976,1244.5,1206.400024,1240.099976,1240.099976,1627
2016/06/06,1244.400024,1247.300049,1240,1244.599976,1244.599976,1622
2016/06/07,1244,1244.900024,1236.5,1244.400024,1244.400024,1135
2016/06/08,1247.599976,1264,1247.300049,1259.800049,1259.800049,281
2016/06/09,1262.5,1271.400024,1258.099976,1270.199951,1270.199951,406
2016/06/10,1267.599976,1278,1265.300049,1273.400024,1273.400024,381
2016/06/13,1276.199951,1287.300049,1273,1284.400024,1284.400024,397
2016/06/14,1281.800049,1289.699951,1277.800049,1285.599976,1285.599976,328
